catalog_entry_no,major_category_text,industry_category_text,gb_code_fragments,target_management,metric,metric_source_keyword,operator,value,unit,lower_value,lower_unit,lower_inclusive,upper_value,upper_unit,upper_inclusive,equivalent_value,equivalent_unit,raw_fragment,raw_condition,inheritance_rule,review_question,source_basis,confidence,runtime_status,source_page
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,annual_processing_capacity,年加工能力,gte,1000,ton_per_year,,,,,,,,,0.1万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,并列物料阈值继承左侧最近的年加工能力/年使用/年产等指标词,该阈值是否确实继承左侧指标词，且适用于其后的物料/工序对象？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,LOW,DRAFT_NOT_FOR_RUNTIME,5
16,八、农副食品加工业13,其他农副食品加工139,139,SIMPLIFIED,annual_processing_capacity,年加工能力,gte,45000,ton_per_year,,,,,,,,,4.5万吨及以上,除重点管理以外的年加工能力1.5 万 吨及以上玉米、0.1 万吨及以上薯类 或豆类、4.5 万吨及以上小麦的淀粉 生产、年产0.1 万吨及以上的淀粉制 品生产（不含有发酵工艺的淀粉制 品）,并列物料阈值继承左侧最近的年加工能力/年使用/年产等指标词,该阈值是否确实继承左侧指标词，且适用于其后的物料/工序对象？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,LOW,DRAFT_NOT_FOR_RUNTIME,5
32,十四、皮革、毛皮、羽毛及其制品和制鞋业19,制鞋业195,195,SIMPLIFIED,annual_material_use,年使用,gte,3,ton_per_year,,,,,,,,,溶剂型胶粘剂或者3吨及以上,除重点管理以外的年使用10 吨及以 上溶剂型胶粘剂或者3 吨及以上溶剂 型处理剂的,并列物料阈值继承左侧最近的年加工能力/年使用/年产等指标词,该阈值是否确实继承左侧指标词，且适用于其后的物料/工序对象？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,LOW,DRAFT_NOT_FOR_RUNTIME,7
39,十八、印刷和记录媒介复制业23,印刷231,231,SIMPLIFIED,annual_material_use,年使用,gte,10,ton_per_year,,,,,,,,,涂料或者10吨及以上,除重点管理以外的年使用80 吨及以 上溶剂型油墨、涂料或者10 吨及以 上溶剂型稀释剂的包装装潢印刷,并列物料阈值继承左侧最近的年加工能力/年使用/年产等指标词,该阈值是否确实继承左侧指标词，且适用于其后的物料/工序对象？,permit_management_catalog_table_cells.csv -> permit_condition_normalization_draft.csv,LOW,DRAFT_NOT_FOR_RUNTIME,8
